param,value,rec_mean,rec_std,f1,wins_vs_plain,n_onsets
lr,0.0002,2000,0,0.9968,1,3
lr,0.0005,2000,0,0.9974,1,3
lr,0.001,2000,0,0.9976,1,3
finetune_epochs,1,2000,0,0.9974,1,3
finetune_epochs,3,2000,0,0.9974,1,3
finetune_epochs,5,2000,0,0.9974,1,3
window,1000,1000,0,0.9978,1,3
window,2000,2000,0,0.9974,1,3
window,5000,5000,0,0.9974,0,3
rec_thr,0.1,2000,0,0.9974,1,3
rec_thr,0.15,2000,0,0.9974,1,3
rec_thr,0.2,2000,0,0.9974,1,3
warmup,512,2000,0,0.9981,1,3
warmup,2000,2000,0,0.9974,1,3
warmup,4000,2001,1,0.9964,1,3
delta,0.001,2000,0,0.9974,1,3
delta,0.002,2000,0,0.9974,1,3
delta,0.01,2000,0,0.9975,1,3
